cost,accuracy,delay
2.3023078441619873,0.10483870655298233,8.085675239562988
2.301272392272949,0.11290322244167328,5.7601282596588135
2.3007659912109375,0.19354838132858276,6.3579020500183105
2.299912214279175,0.10483870655298233,6.231734991073608
2.2985661029815674,0.2016129046678543,6.212821006774902
2.296778440475464,0.2661290466785431,6.26702618598938
2.2948825359344482,0.12096773833036423,6.2722327709198
2.29237699508667,0.29032257199287415,6.1904237270355225
2.2886879444122314,0.2822580635547638,6.219123363494873
2.284022092819214,0.20967741310596466,6.220888376235962
